325/375 ,0.75,325/375 ,0.75,2-227,1042555,996082,N/A,379800,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16
375,0.87,375,0.87,2-227,1042555,996082,N/A,139790,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16
375,0.87,325/375 ,0.75,2-227,1042555,996082,N/A,136168,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16
387/375 ,0.87,387/375 ,0.87,2-227,1042555,996082,N/A,139790,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16
387/456 ,0.87,387/456 Adapter to Protector ,0.87,"2-231
2-227","1042589
1042555","831248
996082",1208800,904144,"68965 (6)
68973 (6)","306993 (6)
307223 (6)",904110,"118182 (6)
118190 (6)","309740 (6)
310086 (6)","42614
44778","16
26"
400,0.87,400,0.87,,,,,,,,,,,,
400/456 ,0.87,400/456 Adapter to Protector ,0.87,"2-231
2-227","1042589
1042555","831248
996082",1208800,904144,"68965 (6)
68973 (6)","306993 (6)
307223 (6)",904110,"118182 (6)
118190 (6)","309740 (6)
310086 (6)","42614
44778","16
26"
450,1,450,1,,,,,,,,,,,,
540,1.18,540,1.18,2-237,1042605,812776,N/A,"496422
100571075 (HS)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),44778,26
540 Adv (FS) ,1.18,540 Adv (FS) ,1.18,2-237,1042605,812776,N/A,"496422
100571075 (HS)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),44778,26
738,1.5,540 Adapter to Protector ,1.18,"2-349
2-237","1042670
1042605","996132
812776",84293,1046176,"256503 (13)
68973 (11)","307017 (13)
307223 (11)",892737,"210484 (13)
118190 (11)","310094 (13)
310086 (11)","13/16
44778","60
26"
738,1.5,738,1.5,2-349,1042670,996132,N/A,294942,256503 (13),307017 (13),N/A,210484 (13),310094 (13),13/16,60
738,1.5,738/562 ,1.5,2-349,1042670,996132,N/A,294942,256503 (13),307017 (13),N/A,210484 (13),310094 (13),13/16,60
950,2,950/738 ,2,2-361,NDE,7026032,N/A,903625,105916  (12),307025 (12),N/A,861260 (12),824300 (12),07-Aug,86
