338,0.68,325/375 ,0.75,none,N/A,265983,68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
338 (FS) ,0.68,325/375 ,0.75,none,N/A,DNE,68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
338,0.68,387,0.87,none,N/A,143719,68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
338 (FS) ,0.68,387 (FS) ,0.87,none,N/A,"100267472
100570686 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
338,0.68,387 (FS) ,0.87,none,N/A,"100267472
100570686 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
338 (FS) ,0.68,387,0.87,none,N/A,"100267472
100570686 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
338,0.68,400,0.87,none,N/A,143719,68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
338 (FS) ,0.68,400,0.87,none,N/A,"100267472
100570686 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
387 (FS) ,0.68,387 (FS) ,0.87,none,N/A,"100267472
100570686 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
387,0.68,387 (FS) ,0.87,none,N/A,"100267472
100570686 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
387,0.68,387,0.87,none,N/A,"260679
100570026 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
387 (FS) ,0.68,387,0.87,none,N/A,"100267472
100570686 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
387/375 ,0.87,387,0.87,none,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
387/375 ,0.87,400,0.87,none,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
387 (FS) ,0.87,387,0.87,none,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
387 (FS) ,0.87,387 (FS) ,0.87,none,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
387,0.87,387,0.87,none,N/A,"266429
100570012 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
387,0.87,387 (FS) ,0.87,none,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
400 (FS) ,0.68,400,0.87,none,N/A,"100267472
100570686 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
400,0.68,400,0.87,none,N/A,"260679
100570026 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
400/375 ,0.87,387,0.87,none,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
400/375 ,0.87,400,0.87,none,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
,,,,,,,,,,,,,
